,A,B,C,D
2021-06-21,0.6491669711101117,0.25446966046522135,-0.923014333161531,-1.9580421958574266
2021-06-22,0.43199836935154845,1.0528415632647246,-2.3469119203287123,-3.2999926477764245
2021-06-23,0.11128217662960566,0.6659756074894265,-2.1095705555581987,-1.8142905592112832
2021-06-24,-0.4742375127536372,0.6482826522789167,-4.4233784125918305,-1.4200918832622629
2021-06-25,-1.6910499897053963,1.5724178142445102,-4.6959757935195,-1.7333455195446636
2021-06-26,-1.7920179837111045,3.2802728369016325,-5.565236426726177,-2.894819915721789
2021-06-27,-1.5552146241389617,4.091599189193345,-4.643710686473095,-3.5121827459735013
2021-06-28,-2.645951370594865,3.689836588302489,-2.988228946220925,-1.6004853634503555
2021-06-29,-2.1418612363384435,3.252803105222205,-4.267159557650601,-1.7356980013857235
2021-06-30,-0.904943147059913,4.185826972505874,-3.627912357646671,-1.4427625072689563
2021-07-01,-0.794196709422578,5.786637415579791,-2.6394512998751547,-1.4660069324142402
2021-07-02,0.5418662169923535,3.837225174910232,-2.401263286495962,-0.45894615960339635
2021-07-03,-0.8026757292615855,3.9587839157808267,-1.67981474630575,-0.8680074298623195
2021-07-04,-1.0962540827140261,3.8619769443009737,-2.127589768153974,-1.8219781403276434
2021-07-05,-2.3775992429291906,4.876440679976339,-1.8180761275305088,-0.8780855108784449
2021-07-06,-2.80418274462955,3.8840968534387095,-1.7455508191542994,-1.831665716182242
2021-07-07,-3.933611521093745,4.072642554824015,0.07995204472678563,-1.9256135888857646
2021-07-08,-2.9820295240828054,3.606416389744813,-0.00027796049802172873,-1.5162076914779283
2021-07-09,-3.4296464433870137,3.9809624900769367,-0.24632664764247741,-3.8561815531517025
2021-07-10,-4.104984946950464,3.901788854198333,-0.4174678131998798,-2.1881913760149976
2021-07-11,-3.345294862396507,4.997523803459374,-0.2476752125571055,-4.107976663260919
2021-07-12,-2.7240436839484024,5.249974414425209,0.8933394817390772,-4.060337403298564
2021-07-13,-4.443067323548319,5.269793740906255,0.05867175299535954,-3.700891166074234
2021-07-14,-4.279716205203776,3.316995169607958,0.17267609558398325,-6.054523029956605
2021-07-15,-4.540182524688,2.6219720089561984,1.4169187130089467,-6.509396703942481
2021-07-16,-3.7472203431668856,2.6475810375772575,0.15769693964867804,-7.751311939792906
2021-07-17,-2.8954612799534205,3.6811320662741105,-0.587904957399822,-7.789771647111052
2021-07-18,-2.0714252282059165,6.1152355213643865,-1.1953592162812559,-6.345004764183713
2021-07-19,-1.8836944396528967,5.956952828133809,0.0061682008355097295,-6.430899593421127
2021-07-20,-1.6175478552099896,5.858520799552855,-0.5408594006509478,-5.525692873826331
2021-07-21,-2.0726592224465166,6.372916447241964,-0.7791756649448176,-6.5467482738656155
2021-07-22,-2.3503128166335214,6.109706745468971,0.3400516723128115,-7.132627857195978
2021-07-23,-3.826577203572517,6.731410887803434,0.5612180249781784,-7.827297931829101
2021-07-24,-3.3818500368819855,7.6586216512788265,1.603356602058424,-7.709439317931873
2021-07-25,-3.451869879053703,7.892187658942985,2.0165654564808673,-9.675478266361646
2021-07-26,-4.307378940141962,7.988249255293365,3.384833605476227,-10.502595577492672
2021-07-27,-5.046142884050642,8.95142075532442,1.2217371412212525,-9.80718038659489
2021-07-28,-4.748431815471116,7.0298007264034315,1.277471131920608,-10.742698183132063
2021-07-29,-5.186498434876788,5.184179468145323,1.644005148461682,-10.619623861715379
2021-07-30,-3.8580338180421245,5.742058296405286,0.19766457273448257,-10.684195042535555
2021-07-31,-5.556443077928338,5.240040160176597,-0.8405945332895779,-9.896924512942913
2021-08-01,-3.655510083882656,4.938889658854288,1.2069596423254183,-10.519027750158221
2021-08-02,-3.414032226566475,5.4925545502164965,2.542756983085324,-11.22987594676406
2021-08-03,-5.828930241409353,5.172882595664852,1.7448987674117011,-12.475706438880415
2021-08-04,-7.067434234423362,3.6244977708190493,1.9115676366727874,-13.326910987360236
2021-08-05,-6.934343275175642,3.92404946027468,1.8309871054172209,-13.06199765467494
2021-08-06,-5.428354592977714,5.340097555033027,3.3291507766179063,-14.641475751962863
2021-08-07,-5.463898332502687,5.1617437986217185,3.348277940632427,-14.23815689981474
2021-08-08,-5.871680066968654,4.66480426585264,3.0799211658892993,-14.44063320884344
2021-08-09,-6.693781489115471,5.024764652653739,3.3261852933688907,-12.822743907110326
2021-08-10,-6.760616074492196,3.088134417575186,3.594686108995553,-13.849357535590796
2021-08-11,-6.680242304114735,3.20049441745228,1.85467648601526,-15.847540061000878
2021-08-12,-7.715306948018229,4.094809382847503,0.6038699020171014,-16.112941974639636
2021-08-13,-9.360319936355648,4.374924590570792,1.9231876458524206,-18.523265907022584
2021-08-14,-8.465596521165278,4.34456493395931,1.451700407003168,-17.88472650029111
2021-08-15,-7.309663543335485,4.730637247045008,1.7443829737853216,-18.55496739392876
2021-08-16,-6.487847182120216,4.90577349600002,2.136704726023603,-20.274304522664952
2021-08-17,-6.144061251083919,4.955208473195782,2.0011591202587367,-20.409578258502414
2021-08-18,-5.09655124577295,4.274562150383868,2.724685854254327,-20.725016644344905
2021-08-19,-6.436357152122445,6.067759105694385,1.8984653148632642,-21.228456302792768
2021-08-20,-6.344894045023012,6.502252763435588,4.142226231072932,-21.221660119715246
2021-08-21,-7.344966119146598,8.58519701566297,3.191427982827361,-21.48399466554708
2021-08-22,-5.772504543167718,8.697100813746728,2.446656798456236,-20.142237828126454
2021-08-23,-5.646641321583813,9.198562003602973,2.9810688669746384,-19.252533420885662
2021-08-24,-6.938717810448042,8.347564727996573,4.579068184453197,-18.77832821907026
2021-08-25,-6.505212443016051,8.488671194114595,4.815993510513784,-18.828344779638975
2021-08-26,-5.89170896024394,6.943127450249132,3.886314873607899,-20.46956547448239
2021-08-27,-5.8162109708176,7.822929825915492,3.9884200911443526,-20.156064694080243
2021-08-28,-4.709227546703795,7.102062514559903,6.707383195057318,-21.309535993174528
2021-08-29,-4.871548048938185,7.63222790869163,7.911563539654754,-21.92943550602065
2021-08-30,-5.011783453610936,8.971146268659707,6.759153603898879,-23.23877418376361
2021-08-31,-4.71577073002907,9.647596360094209,6.494531610627969,-22.130569432850184
