ch_name,title,link,hit,regdate
GongbroDesk,"파이썬 데이터 분석 - 설치부터 라이브러리 예제까지 (feat. 넘파이, 맷플롯립, 판다스)",youtube.com/watch?v=8_VWnRvbGPs,조회수 1.7만회,6개월 전
todaycode오늘코드,"[1/5] 파이썬 데이터 분석 - 전국 도시 공원 표준 데이터 불러오기, 요약하기",youtube.com/watch?v=uJ6QO6jLBWA,조회수 1.2만회,2년 전
데이터 스테이션,파이썬 판다스로 회사 엑셀데이터 전처리 하는 방법 ! 1탄 (Python / Pandas) #Python #파이썬 #Pandas,youtube.com/watch?v=3-iwY0_u0VA,조회수 3.9천회,4개월 전
테디노트,"25분만에 끝내는 데이터분석, 머신러닝을 위한 기본 파이썬",youtube.com/watch?v=JoL3ACNDs-I,조회수 9.4천회,1년 전
todaycode오늘코드,"[1/29] 파이썬 데이터 분석을 위한 Pandas 기초 - 판다스 10분 완성소개, cheat sheet 보고 데이터프레임 만들어보기 튜토리얼",youtube.com/watch?v=lspu830SzC8,조회수 3만회,2년 전
Visualising Korea,무슨 분석 툴을 배워야 할까? - 실제 데이터 과학/데이터 분석 업계에서의 R 과 Python (파이썬) 비교,youtube.com/watch?v=1e2IjkDYE_8,조회수 2.3만회,11개월 전
Data Scientist이지영,"[통계, 파이썬] 데이터분석 능력 기르기 1. 이건 알고 시작하자.",youtube.com/watch?v=Dfpi4pAzn78,조회수 7.6천회,11개월 전
Data Scientist이지영,"[통계, 파이썬] 데이터분석 능력 기르기 2. 빅데이터의 저주, 파이썬으로 구현하기",youtube.com/watch?v=Ax5ENEciYbE,조회수 2.5천회,11개월 전
매일경제 에브리데이,데이터 엔지니어 vs 데이터 분석가 vs 데이터 사이언티스트 연봉 KING 전망 KING은 누구?/현직자인터뷰/카카오모빌리티/취업꿀팁,youtube.com/watch?v=luA8-_BHWRE,조회수 8.2천회,3개월 전
매일경제 에브리데이,데이터 엔지니어 vs 데이터 분석가 vs 데이터 사이언티스트 연봉 KING 전망 KING은 누구?/현직자인터뷰/카카오모빌리티/취업꿀팁,youtube.com/watch?v=luA8-_BHWRE,조회수 8.2천회,3개월 전
나도코딩,파이썬 코딩 무료 강의 (기본편) - 6시간 뒤면 여러분도 개발자가 될 수 있어요 [나도코딩],youtube.com/watch?v=kWiCuklohdY,조회수 189만회,1년 전
Kyeongrok Kim,공공데이터 호출하고 데이터 뽑기.json,youtube.com/watch?v=iLXNSjjWNtQ,조회수 1.4만회,1년 전
PLANIT DATAV,데이터 새내기가 알려주는 취업 꿀팁! [데이터로 먹고살기 EP.01],youtube.com/watch?v=WdF4lVTYRsY,조회수 2.7만회,1년 전
데이터 스테이션,Python Pandas 실무 데이터 분석 1탄 (Series / Dataframe 구조) #Python #파이썬 #Pandas,youtube.com/watch?v=q4UFSZPjLyo,조회수 6.4천회,1년 전
데싸노트,Python VS R: 뉴욕 데이터사이언티스트가 추천하는 것은?,youtube.com/watch?v=bybKm5E8Srg,조회수 7.5천회,6개월 전
꽃부리 AI With SJ,"머신러닝, 데이터분석 공부 고민만 하는 분께 l 파이썬 공부 이유 l 머신러닝 공부 순서",youtube.com/watch?v=irenjQzqQsw,조회수 6천회,4개월 전
todaycode오늘코드,"[1/7] Python, Pandas,  folium으로 스타벅스, 이디야 매장 위치 분석하기",youtube.com/watch?v=PR1WeCdFWvg,조회수 1.7만회,2년 전
데이터 스테이션,[매일10분 데이터 분석] 데이터 시각화를 쉽게 해보자 ! (Python / 그래프 / Seaborn / Matplot),youtube.com/watch?v=oxtUkzr0ehs,조회수 2.5천회,4개월 전
파이썬멘토 조인석,12-1. 파이썬 데이터 분석 소개 및 csv 파일 데이터 읽어오기 (What is Python data analysis & reading csv file),youtube.com/watch?v=Rh_gJz26BWw,조회수 600회,1년 전
메모밍 채널 ( Channel Memoming ),[파이썬] 데이터 분석을 위한 파이썬 [08] Pandas (Python for Data Analysis),youtube.com/watch?v=19oPYr6d5IY,조회수 4.7천회,2년 전
한빛미디어,"[이것이 데이터 분석이다 with 파이썬_01] 분석 환경 구축하기 주피터 노트북, 아나콘다 설치",youtube.com/watch?v=nSEkwomMtxs,조회수 9.5천회,1년 전
