,고급휘발유,휘발유,경유
0,1865.0,1548,1345
1,1765.0,1565,1365
2,1780.0,1566,1361
3,1865.0,1568,1365
4,1805.0,1586,1384
5,1865.0,1590,1390
6,1865.0,1595,1380
7,1837.0,1597,1395
8,1835.0,1598,1393
9,1948.0,1598,1388
10,1790.0,1598,1380
11,1880.0,1598,1398
12,1865.0,1608,1397
13,1898.0,1609,1412
14,1787.0,1619,1388
15,1797.0,1632,1398
16,1833.0,1633,1399
17,1795.0,1639,1443
18,1885.0,1685,1485
19,1865.0,1688,1438
20,1998.0,1688,1438
21,1865.0,1728,1528
22,1987.0,1757,1543
23,1990.0,1780,1580
24,1998.0,1785,1584
25,2061.0,1823,1653
26,2079.0,1859,1639
27,2027.0,1863,1635
28,1998.0,1865,1651
29,2088.0,1883,1672
30,1998.0,1890,1598
31,2097.0,1897,1697
32,2189.0,1937,1738
33,2098.0,1953,1733
34,2165.0,1976,1754
35,2179.0,1998,1798
36,2285.0,1999,1885
37,2149.0,1999,1799
38,2126.0,2006,1809
39,2278.0,2028,1897
40,2263.0,2055,1867
41,2268.0,2059,1869
42,2306.0,2105,1908
43,2305.0,2106,1909
44,2293.0,2107,1909
45,2420.0,2120,1920
46,1865.0,1664,1469
47,1865.0,1693,1498
48,1865.0,1694,1504
49,1865.0,1695,1495
50,1865.0,1695,1495
51,1865.0,1697,1497
52,1865.0,1698,1498
53,1865.0,1698,1498
54,1865.0,1699,1529
55,1859.0,1709,1509
56,1865.0,1716,1526
57,1878.0,1719,1539
58,1855.0,1719,1529
59,1855.0,1719,1529
60,1898.0,1720,1530
61,1898.0,1720,1530
62,1858.0,1720,1530
63,1878.0,1722,1532
64,1865.0,1723,1533
65,1898.0,1725,1535
66,1939.0,1729,1538
67,1867.0,1737,1537
68,1868.0,1738,1538
69,1898.0,1738,1548
70,1898.0,1738,1538
71,1934.0,1743,1559
72,1923.0,1753,1544
73,1885.0,1768,1548
74,1885.0,1768,1548
75,1998.0,1783,1583
76,1865.0,1794,1594
77,1897.0,1797,1587
78,1999.0,1799,1657
79,1999.0,1799,1657
80,2291.0,2076,1939
81,2258.0,2098,1858
82,2248.0,2098,1898
83,2378.0,2142,1967
84,2329.0,2187,1984
85,2436.0,2296,2146
86,1865.0,1687,1495
87,1958.0,1707,1517
88,1865.0,1708,1498
89,1865.0,1716,1514
90,1865.0,1718,1518
91,1865.0,1718,1518
92,1865.0,1728,1538
93,1865.0,1728,1548
94,1918.0,1728,1538
95,1967.0,1728,1538
96,1928.0,1738,1548
97,1865.0,1748,1558
98,1865.0,1748,1558
99,1989.0,1789,1589
100,1964.0,1799,1659
101,1966.0,1823,1633
102,1865.0,1837,1638
103,2363.0,2128,1907
104,1865.0,1639,1445
105,1865.0,1646,1456
106,1865.0,1669,1449
107,1865.0,1676,1476
108,1865.0,1677,1477
109,1898.0,1678,1498
110,1865.0,1678,1478
111,1849.0,1679,1489
112,1865.0,1679,1479
113,1865.0,1679,1489
114,1890.0,1683,1484
115,1865.0,1687,1487
116,1865.0,1738,1538
117,1865.0,1657,1467
118,1865.0,1665,1469
