"행정구역","2015년_계_총인구수","2015년_계_연령구간인구수","2015년_계_13세","2015년_계_14세","2015년_계_15세","2015년_계_16세","2015년_계_17세","2015년_계_18세"
"서울특별시  (1100000000)","10,022,181","623,509","84,511","94,302","110,050","106,085","110,951","117,610"
"서울특별시 종로구 (1111000000)","154,986","9,195","1,227","1,395","1,672","1,541","1,609","1,751"
"서울특별시 중구 (1114000000)","125,733","5,694","729","789","1,021","947","1,040","1,168"
"서울특별시 용산구 (1117000000)","233,342","12,583","1,723","1,926","2,181","2,198","2,179","2,376"
"서울특별시 성동구 (1120000000)","297,003","16,053","2,194","2,364","2,748","2,772","2,875","3,100"
"서울특별시 광진구 (1121500000)","360,369","21,875","2,816","3,185","3,887","3,797","4,019","4,171"
"서울특별시 동대문구 (1123000000)","360,153","19,487","2,640","2,880","3,414","3,309","3,518","3,726"
"서울특별시 중랑구 (1126000000)","413,909","23,648","2,967","3,433","4,090","4,060","4,316","4,782"
"서울특별시 성북구 (1129000000)","459,275","27,792","3,953","4,310","4,911","4,801","4,728","5,089"
"서울특별시 강북구 (1130500000)","330,873","19,228","2,525","2,856","3,314","3,267","3,527","3,739"
"서울특별시 도봉구 (1132000000)","351,242","23,087","3,027","3,453","4,058","3,852","4,115","4,582"
"서울특별시 노원구 (1135000000)","574,583","46,350","6,189","7,180","8,401","7,899","8,149","8,532"
"서울특별시 은평구 (1138000000)","497,920","31,246","4,295","4,681","5,545","5,409","5,432","5,884"
"서울특별시 서대문구 (1141000000)","312,141","18,336","2,465","2,903","3,184","3,111","3,248","3,425"
"서울특별시 마포구 (1144000000)","387,643","21,351","2,999","3,336","3,804","3,638","3,605","3,969"
"서울특별시 양천구 (1147000000)","484,532","41,012","5,666","6,372","7,209","7,175","7,159","7,431"
"서울특별시 강서구 (1150000000)","589,074","35,045","4,927","5,331","6,190","5,755","6,239","6,603"
"서울특별시 구로구 (1153000000)","422,092","23,164","3,227","3,593","3,992","3,882","4,056","4,414"
"서울특별시 금천구 (1154500000)","236,284","13,202","1,703","1,916","2,205","2,267","2,520","2,591"
"서울특별시 영등포구 (1156000000)","378,504","19,446","2,584","2,878","3,322","3,295","3,576","3,791"
"서울특별시 동작구 (1159000000)","400,641","21,226","2,941","3,251","3,549","3,501","3,950","4,034"
"서울특별시 관악구 (1162000000)","509,663","23,864","3,231","3,490","4,034","4,021","4,356","4,732"
"서울특별시 서초구 (1165000000)","446,764","31,507","4,573","4,940","5,835","5,300","5,395","5,464"
"서울특별시 강남구 (1168000000)","576,495","44,382","5,717","6,482","8,085","7,639","8,256","8,203"
"서울특별시 송파구 (1171000000)","660,302","44,805","6,178","6,973","8,041","7,608","7,672","8,333"
"서울특별시 강동구 (1174000000)","458,658","29,931","4,015","4,385","5,358","5,041","5,412","5,720"
